C101,FUNDAMENTOS DE PROGRAMACION,Ene 25 2023,23-ene,ORD,7
C102,MATEMATICAS DISCRETAS,Ene 25 2023,23-ene,ORD,7
C103,CALCULO,Ene 25 2023,23-ene,ORD,7
C104,ANALISIS VECTORIAL,Ene 25 2023,23-ene,ORD,8
C105,COMUNICACION ORAL Y ESCRITA,Ene 25 2023,23-ene,ORD,10
C201,ALGORITMOS Y ESTRUCTURA DE DATOS,Jul 3 2023,23-feb,ORD,7
C202,ALGEBRA LINEAL,Jul 3 2023,23-feb,ORD,6
C203,CALCULO APLICADO,Ene 22 2024,24-ene,REC,10
C204,MECANICA Y ELECTROMAGNETISMO,Ene 22 2024,24-ene,REC,10
C205,INGENIERIA ETICA Y SOCIEDAD,Jul 3 2023,23-feb,ORD,8
C206,FUNDAMENTOS ECONOMICOS,Jul 3 2023,23-feb,EXT,9
C301,ANALISIS Y DISEÑO DE ALGORITMOS,Jul 8 2024,24-feb,ORD,10
C302,PARADIGMAS DE PROGRAMACION,Jul 8 2024,24-feb,ORD,9
C303,ECUACIONES DIFERENCIALES,Jul 8 2024,24-feb,ORD,9
C304,FUNDAMENTOS DE DISEÑO DIGITAL,Jul 8 2024,24-feb,ORD,7
C305,CIRCUITOS ELECTRICOS,Jul 8 2024,24-feb,ORD,7
C306,BASES DE DATOS,Jul 8 2024,24-feb,ORD,10
C307,FINANZAS EMPRESARIALES,Ene 22 2024,24-ene,ORD,8
C401,TEORIA DE LA COMPUTACION,-,-,-,-
C402,PROBABILIDAD Y ESTADISTICA,-,-,-,-
C403,MATEMATICAS AVANZADAS PARA LA INGENIERIA,-,-,-,-
C404,DISEÑO DE SISTEMAS DIGITALES,-,-,-,-
C405,ELECTRONICA ANALOGICA,-,-,-,-
C406,TECNOLOGIAS PARA DESARROLLO DE APLICACIONES WEB,-,-,-,-
C407,SISTEMAS OPERATIVOS,-,-,-,-
C501,COMPILADORES,-,-,-,-
C502,PROCESAMIENTO DIGITAL DE SEÑALES,-,-,-,-
C503,ARQUITECTURA DE COMPUTADORAS,-,-,-,-
C504,INSTRUMENTACION Y CONTROL,-,-,-,-
C505,ANALISIS Y DISEÑO DE SISTEMAS,-,-,-,-
C506,FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS,-,-,-,-
C507,REDES DE COMPUTADORAS,-,-,-,-
C601,INTELIGENCIA ARTIFICIAL,-,-,-,-
C602,SISTEMAS EN CHIP,-,-,-,-
C603,METODOS CUANTITATIVOS PARA LA TOMA DE DECISIONES,-,-,-,-
C618,INGENIERIA DE SOFTWARE,-,-,-,-
C619,APLICACIONES PARA COMUNICACIONES EN RED,-,-,-,-
C701,TRABAJO TERMINAL I,-,-,-,-
C702,SISTEMAS DISTRIBUIDOS,-,-,-,-
C717,DESARROLLO DE APLICACIONES MOVILES NATIVAS,-,-,-,-
C718,ADMINISTRACION DE SERVICIOS EN RED,-,-,-,-
C801,TRABAJO TERMINAL II,-,-,-,-
C802,LIDERAZGO PERSONAL,-,-,-,-
C803,GESTION EMPRESARIAL,-,-,-,-
C804,ESTANCIA PROFESIONAL,-,-,-,-
C805,DESARROLLO DE HABILIDADES SOCIALES PARA LA ALTA DIRECCION,-,-,-,-
